,F-stat,p-value,Significant (5%),Direction
1,0.00735705900918895,0.9316532308526355,False,NVDA → ^NDX
2,1.0411012506510477,0.35321284924658813,False,NVDA → ^NDX
3,0.6965756020840513,0.5540828308219838,False,NVDA → ^NDX
4,0.6816795413494826,0.6046140410099315,False,NVDA → ^NDX
5,0.9747649064074786,0.43169258514993347,False,NVDA → ^NDX
6,0.8293490475708974,0.5470034424588281,False,NVDA → ^NDX
7,0.7191647132137596,0.6557993577880127,False,NVDA → ^NDX
8,0.9274840031741892,0.49229363158654804,False,NVDA → ^NDX
9,0.8350844830914526,0.583659707929252,False,NVDA → ^NDX
10,0.7856228774534375,0.6428567403489631,False,NVDA → ^NDX
